date,P,T,E,Q,Qmm
06/02/1999,14.7,5.3,0.38,0.0,0.0
07/02/1999,24.8,5.2,0.33,0.0,0.0
08/02/1999,3.3,5.5,1.77,0.0,0.0
09/02/1999,11.1,7.6,1.28,0.0,0.0
10/02/1999,0.1,7.5,1.34,0.0,0.0
11/02/1999,1.2,9.7,1.52,0.0,0.0
12/02/1999,14.8,8.3,0.88,0.0,0.0
13/02/1999,13.1,6.6,0.98,0.0,0.0
14/02/1999,5.9,6.8,1.3,0.0,0.0
15/02/1999,1.2,7.4,1.52,0.0,0.0
16/02/1999,4.7,6.2,0.92,0.0,0.0
17/02/1999,21.9,3.8,0.13,0.0,0.0
18/02/1999,11.4,5.7,1.51,0.0,0.0
19/02/1999,5.6,1.5,1.49,0.0,0.0
20/02/1999,0.0,1.5,1.95,0.0,0.0
21/02/1999,2.9,6.7,1.59,0.0,0.0
22/02/1999,9.6,9.2,0.49,0.0,0.0
23/02/1999,13.4,11.8,1.41,0.0,0.0
24/02/1999,16.7,6.2,0.92,0.0,0.0
25/02/1999,0.0,4.5,2.35,0.0,0.0
26/02/1999,0.0,6.2,1.88,0.0,0.0
27/02/1999,0.0,7.9,2.58,0.0,0.0
28/02/1999,0.0,9.3,2.73,0.0,0.0
01/03/1999,0.0,10.8,2.85,0.0,0.0
02/03/1999,0.0,10.1,2.82,0.0,0.0
03/03/1999,0.0,10.5,2.64,0.0,0.0
04/03/1999,0.0,11.6,3.1,0.0,0.0
05/03/1999,0.2,12.7,3.62,0.0,0.0
06/03/1999,0.0,12.0,3.16,0.0,0.0
07/03/1999,0.0,12.3,3.23,0.0,0.0
08/03/1999,3.0,12.4,3.44,0.0,0.0
09/03/1999,4.6,7.8,2.62,0.0,0.0
10/03/1999,0.0,8.0,3.07,0.0,0.0
11/03/1999,0.0,9.9,3.25,0.0,0.0
12/03/1999,0.0,11.5,3.29,0.0,0.0
13/03/1999,0.2,12.1,3.34,0.0,0.0
14/03/1999,0.5,11.0,3.31,0.0,0.0
15/03/1999,0.0,7.0,2.89,0.0,0.0
16/03/1999,0.0,7.1,3.14,0.0,0.0
17/03/1999,2.6,9.1,1.65,0.0,0.0
18/03/1999,0.2,12.1,2.99,0.0,0.0
19/03/1999,14.6,9.8,1.51,0.0,0.0
20/03/1999,6.4,6.7,1.55,0.0,0.0
21/03/1999,2.7,6.2,1.89,0.0,0.0
22/03/1999,0.0,5.7,2.77,0.0,0.0
23/03/1999,0.0,7.3,2.93,0.0,0.0
24/03/1999,16.2,7.5,1.09,0.0,0.0
